Iteration,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
226,6900,17700,5200,4300
227,6300,17700,4400,4300
228,6400,17700,4400,4300
229,6400,17800,4300,4300
230,6400,17700,4400,4300
231,6300,17700,4400,4400
232,6300,17700,4400,4400
233,6200,17700,4400,4400
234,6400,18500,4400,4400
235,6300,17700,4400,4300
236,6300,17700,4400,4300
237,6300,17700,4400,4400
238,6400,17700,4400,4400
239,6300,17700,4300,4400
240,6300,17700,4400,4400
241,6300,17700,4400,4400
242,6400,17700,4400,5700
243,6300,17700,4400,4400
244,6300,17700,4400,4400
245,6300,17700,4400,4400
246,6300,17700,4400,4400
247,6300,17700,4400,4400
248,6400,18500,4400,4400
249,6300,17700,4400,4400
250,6300,17700,4400,4400
251,6300,17700,4400,4400
252,6500,17700,4400,4400
253,6300,17700,4400,4300
254,7500,17700,4300,4300
255,6300,17700,4300,4300
256,6300,17600,4300,4300
257,6400,18200,4300,4400
258,6300,17700,4400,4300
259,6300,17800,4400,4300
260,6300,17700,4400,4400
261,6300,17700,4400,4400
262,6300,17700,4400,4300
263,6400,18400,4400,4300
264,6300,17700,4400,4300
265,6400,17700,4400,4400
266,6300,17700,4400,4400
267,6400,17700,4400,4400
268,6300,17700,4300,4400
269,6300,17700,4300,4400
270,6400,17700,4300,4400
271,6300,17800,4300,4400
272,6200,17700,4300,4400
273,6300,17700,4400,4400
274,6300,17700,4400,4400
275,6300,17700,4400,4400
276,6500,17700,4400,4400
277,6300,17700,4400,4400
278,6300,18500,4400,4400
279,6400,17700,4400,4400
280,6300,17700,4400,4400
281,6300,17700,4400,4400
282,6300,17700,4400,4400
283,6300,17700,4400,4400
284,6300,17700,4300,4400
285,6300,17700,5200,4400
286,6300,17600,4400,4400
287,6300,17700,4400,4400
288,6300,17600,4400,4400
289,6500,17600,4300,4400
290,6400,17600,4300,4400
291,6300,17700,4300,4400
292,6400,17700,4300,4400
293,6300,18500,4400,4400
294,6300,17700,4400,4400
295,6300,17700,4400,4400
296,6400,17800,4400,4400
297,6300,17700,4400,4400
298,6400,17700,4400,4400
299,6300,17700,4400,4400
300,6700,17700,4400,4400
301,6300,17700,4400,5700
302,6200,17600,4400,4300
303,6300,17700,4300,4300
304,6300,17700,4400,4300
305,6300,17700,4400,4300
306,6400,17800,4400,4400
307,6300,18400,4400,4300
308,6300,17700,4400,4300
309,6400,17700,4400,4400
310,6300,19300,4400,4400
311,6300,18100,4400,4400
312,6300,18600,4400,4400
313,14300,18100,4400,4400
314,6400,18000,4400,4400
315,6300,18100,4400,4400
316,6300,20600,4400,4400
317,6300,18100,4300,4400
318,6300,18200,5000,4400
319,6300,18100,4400,4400
320,6300,18100,4400,4400
321,6400,18100,4400,4400
322,6400,19000,4400,4400
323,6300,19200,4400,4400
324,6300,17700,4400,4400
325,6300,17700,4300,4400
326,6200,17700,4300,4400
327,6300,17700,4300,4400
328,6300,17700,4300,4400
329,6300,17700,4400,4400
330,6400,17700,4400,4400
331,6300,17700,4400,4300
332,6300,17700,4400,4300
333,6300,17700,4400,4400
334,6300,17700,4400,4400
335,6200,17600,4400,4400
336,6300,17700,4400,4400
337,6300,18500,4400,4300
338,6400,17700,4400,4300
339,6300,17700,4300,4300
340,6300,17600,4300,4300
341,6200,17700,4300,4400
342,6300,17700,4300,4400
343,6300,17700,4300,4400
344,6400,17700,5200,4300
345,6400,17700,4400,4300
346,6300,17700,4400,4300
347,6300,17700,4400,4300
348,6300,17700,4400,4300
349,6300,17700,4300,4300
350,6200,17700,4300,4300
351,6300,17700,4400,4300
352,6300,18500,4400,4300
353,6500,17700,4400,4300
354,6300,17700,4400,4300
355,6500,17800,4400,4300
356,6300,17700,4400,4300
357,6300,17700,4400,4300
358,6300,17700,4400,4400
359,6300,17700,4400,4300
360,6300,17700,4400,4300
361,6300,17700,4400,5200
362,6300,17600,4400,4400
363,6300,17600,4400,4400
364,6300,17700,4400,4400
365,6300,17700,4300,4300
366,6400,18400,4400,4300
367,6300,17700,4400,4300
368,6500,18200,4400,4300
369,6300,19300,4400,4300
370,6300,18100,4400,4300
371,6300,19300,4400,4300
372,17200,17700,4400,4400
373,6300,17700,4400,4400
374,6300,19500,4400,4400
375,6300,18100,4400,4300
376,6300,19300,4400,4300
377,6300,17800,4400,4300
378,8200,17700,4400,4400
379,6300,19500,4400,4400
380,6600,18200,4300,4400
381,6300,19000,4300,4400
382,6300,18800,4400,4400
383,6400,17800,4400,4400
384,11800,17700,4400,4400
385,6300,17700,4400,4400
386,6400,17700,4400,4400
387,6200,17700,4400,4400
388,6300,17700,4400,4400
389,6400,17700,4400,4400
390,6300,17700,4400,4400
391,6300,17800,4400,4400
392,6500,17700,4400,4400
393,6300,17800,4400,4400
394,6400,17700,4400,4400
395,6400,17700,4300,4400
396,6300,18500,4300,4400
397,6300,17700,4300,4400
398,6400,17700,4300,4400
399,6300,17700,4300,4400
400,6400,17700,4400,4400
401,6300,17600,4400,4400
402,6200,17600,4400,4400
