Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
186,4400,4400,17700,4400,4400
187,4300,4400,17700,4400,4400
188,4300,4400,17600,4400,4400
189,4400,4400,17600,4400,4400
190,4400,4400,17700,4400,4400
191,4400,4400,17700,4400,4400
192,4400,4400,17700,4400,4400
193,4400,4300,17600,4400,4400
194,4400,4400,18500,4400,4400
195,4400,4400,17700,4300,4400
196,4400,4300,17700,4400,4400
197,4400,4400,17700,4400,4400
198,4400,4400,17600,4400,4300
199,4400,4400,17600,4400,4300
200,4400,4400,17600,5200,4300
201,4400,4400,17700,4400,4300
202,4400,4400,17700,4400,4400
203,4400,4400,17700,4400,4400
204,4300,4400,17700,4400,4400
205,4300,5200,17600,4400,4400
206,4300,4400,18400,4400,4400
207,4300,4300,17700,4400,4400
208,4300,4300,17700,4400,4400
209,4400,4300,18500,4400,4400
210,4400,4300,17700,4400,4400
211,4400,4300,17700,4300,4400
212,4400,4400,17700,4400,4400
213,4400,4400,17800,4300,4300
214,4400,4400,17700,4400,4300
215,4400,4400,17700,4400,4300
216,4400,5000,17700,4400,4300
217,4400,4400,17700,4400,4400
218,4400,4400,17700,4400,4400
219,4400,4400,17700,4400,4400
220,4400,4400,17700,4400,4400
221,4400,4300,17700,4400,4400
222,4400,4400,17700,4400,4400
223,4400,4400,17600,4400,4400
224,4300,4400,18600,4400,4400
225,4300,4400,17700,4300,4400
226,5900,4400,17600,4300,4400
227,4300,4400,17600,4300,4300
228,4300,4400,17600,4300,4300
229,4300,4400,17700,4300,4300
230,4400,4400,17700,4400,4400
231,4400,4400,19200,4400,4400
232,4400,4400,18000,4400,4400
233,4400,4400,18000,4400,4400
234,4400,4300,18100,4400,4300
235,4400,4400,18000,4400,4300
236,4400,4400,18000,4400,4300
237,4400,4400,18100,4400,4300
238,4400,4400,18100,4400,4300
239,4400,4400,19000,4400,4400
240,4300,4400,18100,4400,4400
241,4300,4400,18200,4300,5200
242,4300,4400,18000,4400,4400
243,4300,4400,18100,4300,4400
244,4300,4400,18000,4300,4400
245,4400,4400,18000,4400,4400
246,4400,4400,18100,4400,4400
247,4400,4400,18100,4400,4300
248,4400,4300,18100,4400,4300
249,4400,4400,18000,4400,4400
250,4400,4400,18000,4400,4300
251,4400,4400,18100,4400,4400
252,4400,4400,18000,4400,4400
253,4400,4400,18900,4400,4400
254,4400,4300,18100,4400,4400
255,4400,4400,18200,4300,4400
256,4400,4400,18100,4300,4400
257,4400,4400,18100,4300,4400
258,4400,4400,18300,4400,4400
259,4400,4400,18100,4400,4300
260,4300,4400,19400,5200,4300
261,4300,4400,19200,4400,4400
262,4300,4400,19300,4400,4400
263,4300,4400,18100,4300,4400
264,4300,5200,18100,4300,4400
265,4300,4400,18100,4300,4400
266,4400,4400,18100,4400,4400
267,4400,4400,18200,4400,4400
268,4400,4400,19000,4400,4400
269,4400,4400,18100,4400,4400
270,4400,4400,18000,4400,4300
271,4400,4300,18000,4400,4300
272,4400,4300,18200,4400,4300
273,4400,4300,18000,4400,4300
274,4400,4300,20500,4300,4300
275,4400,4300,18100,4400,4400
276,4400,4300,18000,4400,4400
277,4400,4400,18100,4400,4400
278,5600,4400,18100,4400,4400
279,4300,4400,19100,4400,4400
280,4400,4400,17700,4400,4400
281,4400,4400,17700,4400,4400
282,4400,4400,17700,4400,4400
283,4400,4400,18500,4400,4400
